黑龙姜,#genre#
CCTV1,http://111.194.10.65:4022/rtp/239.3.1.1:8000
CCTV2,http://111.194.10.65:4022/rtp/239.3.1.2:8004
CCTV4,http://111.194.10.65:4022/rtp/239.3.1.4:8216
CCTV7,http://111.194.10.65:4022/rtp/239.3.1.7:8024
CCTV9,http://111.194.10.65:4022/rtp/239.3.1.9:8032
CCTV10,http://111.194.10.65:4022/rtp/239.3.1.10:8228
CCTV11,http://111.194.10.65:4022/rtp/239.3.1.11:8040
CCTV12,http://111.194.10.65:4022/rtp/239.3.1.12:8232
CCTV13,http://111.194.10.65:4022/rtp/239.3.1.13:8048
CCTV14,http://111.194.10.65:4022/rtp/239.3.1.14:8236
CCTV15,http://111.194.10.65:4022/rtp/239.3.1.15:8052
CGTN,http://111.194.10.65:4022/rtp/239.3.1.16:8056
湖南卫视,http://111.194.10.65:4022/rtp/239.3.1.18:8268
浙江卫视,http://111.194.10.65:4022/rtp/239.3.1.19:8284
江苏卫视,http://111.194.10.65:4022/rtp/239.3.1.20:8276
安徽卫视,http://111.194.10.65:4022/rtp/239.3.1.21:8272
天津卫视,http://111.194.10.65:4022/rtp/239.3.1.23:8144
辽宁卫视,http://111.194.10.65:4022/rtp/239.3.1.24:8116
山东卫视,http://111.194.10.65:4022/rtp/239.3.1.25:8148
云南卫视,http://111.194.10.65:4022/rtp/239.3.1.26:8108
河南卫视,http://111.194.10.65:4022/rtp/239.3.1.27:8128
黑龙江卫视,http://111.194.10.65:4022/rtp/239.3.1.28:8196
四川卫视,http://111.194.10.65:4022/rtp/239.3.1.29:8288
江西卫视,http://111.194.10.65:4022/rtp/239.3.1.30:8280
贵州卫视,http://111.194.10.65:4022/rtp/239.3.1.31:8120
深圳卫视,http://111.194.10.65:4022/rtp/239.3.1.32:9244
湖北卫视,http://111.194.10.65:4022/rtp/239.3.1.33:8136
东方卫视,http://111.194.10.65:4022/rtp/239.3.1.34:8192
重庆卫视,http://111.194.10.65:4022/rtp/239.3.1.35:8296
东南卫视,http://111.194.10.65:4022/rtp/239.3.1.36:8112
河北卫视,http://111.194.10.65:4022/rtp/239.3.1.37:8292
广东卫视,http://111.194.10.65:4022/rtp/239.3.1.38:8132
广西卫视,http://111.194.10.65:4022/rtp/239.3.1.39:8300
吉林卫视,http://111.194.10.65:4022/rtp/239.3.1.40:8200
陕西卫视,http://111.194.10.65:4022/rtp/239.3.1.41:8140
山西卫视,http://111.194.10.65:4022/rtp/239.3.1.42:8172
内蒙古卫视,http://111.194.10.65:4022/rtp/239.3.1.43:8176
青海卫视,http://111.194.10.65:4022/rtp/239.3.1.44:8184
海南卫视,http://111.194.10.65:4022/rtp/239.3.1.45:8304
宁夏卫视,http://111.194.10.65:4022/rtp/239.3.1.46:8124
西藏卫视,http://111.194.10.65:4022/rtp/239.3.1.47:8164
新疆卫视,http://111.194.10.65:4022/rtp/239.3.1.48:8160
甘肃卫视,http://111.194.10.65:4022/rtp/239.3.1.49:8188
金银卡通,http://111.194.10.65:4022/rtp/239.3.1.51:9252
山东教育卫视,http://111.194.10.65:4022/rtp/239.3.1.52:4120
财富天下,http://111.194.10.65:4022/rtp/239.3.1.53:9136
CETV2,http://111.194.10.65:4022/rtp/239.3.1.54:4120
CETV3,http://111.194.10.65:4022/rtp/239.3.1.55:4120
CETV4,http://111.194.10.65:4022/rtp/239.3.1.56:4120
