苏宁,#genre#
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
北京卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8?
黑龙江卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
茶频道,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226808/index.m3u8

不太行,#genre#
CCTV1,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv1/1.m3u8
CCTV1,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv1/1.m3u8
CCTV2,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv2/1.m3u8
CCTV2,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv2/1.m3u8
CCTV3,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv3/1.m3u8
CCTV3,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv3/1.m3u8
CCTV4,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv4/1.m3u8
CCTV4,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv4/1.m3u8
CCTV5,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv5/1.m3u8
CCTV5,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv5/1.m3u8
CCTV6,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv6/1.m3u8
CCTV6,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv6/1.m3u8
CCTV7,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv7/1.m3u8
CCTV7,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv7/1.m3u8
CCTV8,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv8/1.m3u8
CCTV8,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv8/1.m3u8
CCTV9,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv9/1.m3u8
CCTV9,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv9/1.m3u8
CCTV10,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv10/1.m3u8
CCTV10,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv10/1.m3u8
CCTV12,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv12/1.m3u8
CCTV12,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv12/1.m3u8
CCTV14,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv14/1.m3u8
